Perpetrator Age,Cases
1,3
2,6
3,22
4,28
5,32
6,47
7,47
8,61
9,84
10,139
11,213
12,471
13,107
14,248
15,5214
16,8993
17,13542
18,17833
19,19149
20,20393
21,17703
22,17264
23,16412
24,15264
25,16474
26,13728
27,13206
28,1256
29,11631
30,12727
31,10185
32,1003
33,9212
34,8574
35,9039
36,7674
37,7397
38,6841
39,6532
40,6496
41,5706
42,5429
43,5041
44,4614
45,4641
46,3817
47,381
48,3555
49,3258
50,3145
51,2755
52,2522
53,231
54,2145
55,2056
56,1807
57,1605
58,154
59,1446
60,1361
61,1166
62,1079
63,961
64,991
65,877
66,742
67,747
68,692
69,591
70,57
71,505
72,475
73,445
74,355
75,355
76,333
77,3
78,265
79,239
80,237
81,216
82,19
83,153
84,131
85,129
86,95
87,103
88,82
89,54
90,54
91,31
92,27
93,16
94,9
95,8
96,6
97,3
98,6
99,75
0,1
1,1
10,1
11,6
12,6
13,12
14,24
15,77
16,142
17,238
18,344
19,416
20,448
21,449
22,431
23,41
24,388
25,358
26,343
27,288
28,322
29,282
3,2
30,285
31,247
32,268
33,226
34,259
35,251
36,208
37,168
38,175
39,177
40,181
41,14
42,138
43,141
44,155
45,122
46,115
47,116
48,11
49,124
50,129
51,86
52,89
53,95
54,73
55,78
56,83
57,66
58,52
59,55
6,1
60,32
61,45
62,31
63,45
64,24
65,19
66,21
67,2
68,21
69,2
70,15
71,13
72,12
73,13
74,8
75,9
76,13
77,1
78,7
79,3
80,13
81,7
82,3
83,1
84,9
85,7
86,4
87,5
88,1
89,1
9,1
90,3
92,1
93,1
95,1
99,3
