Year,Male,Female
1980,14398,2331
1981,13584,2208
1982,12947,2113
1983,12408,2107
1984,11446,1799
1985,11826,1797
1986,12871,1953
1987,11728,1745
1988,11773,1618
1989,12467,1712
1990,13366,1635
1991,13687,1634
1992,14299,1591
1993,14842,1593
1994,14367,1514
1995,13084,1290
1996,11805,1302
1997,10925,1216
1998,10148,1165
1999,9208,1035
2000,9285,1091
2001,10023,1026
2002,10201,1078
2003,10159,1067
2004,10078,1069
2005,10553,1051
2006,10891,1028
2007,10722,1047
2008,9593,936
2009,10155,1055
2010,9726,971
2011,9472,962
2012,9580,984
2013,9093,944
2014,8942,989
